Recipient_ID,Volunteer_ID,Location,Role,Card_Received,Stress_Level_Before_Card,Stress_Level_After_Card,Job_Satisfaction_Before_Card,Job_Satisfaction_After_Card,Volunteer_Participation,Volunteer_Motivation_Score,Emotional_Response_Score
R0331,V0331,"Houston, TX",Healthcare Worker,Yes,10,9,4,10,5,6,8
R0332,V0332,"Houston, TX",Healthcare Worker,Yes,3,6,4,7,9,8,9
R0333,V0333,"Houston, TX",Educator,Yes,9,10,9,5,15,7,9
R0334,V0334,"Houston, TX",Educator,Yes,3,1,3,10,17,9,7
R0335,V0335,"Houston, TX",Police Officer,No,6,8,5,7,11,7,9
R0336,V0336,"Houston, TX",Police Officer,Yes,3,2,3,3,18,7,6
R0337,V0337,"Houston, TX",Police Officer,No,6,9,6,1,9,5,10
R0338,V0338,"Houston, TX",Police Officer,No,8,10,5,4,17,9,8
R0339,V0339,"Houston, TX",Healthcare Worker,No,7,7,4,6,10,5,10
R0340,V0340,"Houston, TX",Police Officer,Yes,7,6,9,5,14,2,8
R0341,V0341,"Houston, TX",Healthcare Worker,Yes,8,6,9,9,19,10,7
R0342,V0342,"Houston, TX",Educator,No,2,5,5,3,7,8,4
R0343,V0343,"Houston, TX",Police Officer,Yes,5,6,1,8,20,5,10
R0344,V0344,"Houston, TX",Police Officer,No,5,6,7,2,12,9,10
R0345,V0345,"Houston, TX",Healthcare Worker,Yes,9,1,2,5,7,7,9
R0346,V0346,"Houston, TX",Educator,No,1,5,4,9,14,7,8
R0347,V0347,"Houston, TX",Healthcare Worker,No,8,8,4,5,8,9,9
R0348,V0348,"Houston, TX",Educator,Yes,7,5,10,6,2,3,9
R0349,V0349,"Houston, TX",Healthcare Worker,No,3,6,9,9,8,5,7
R0350,V0350,"Houston, TX",Educator,No,9,2,2,9,15,2,9
R0351,V0351,"Houston, TX",Healthcare Worker,Yes,8,3,10,10,7,8,8
R0352,V0352,"Houston, TX",Police Officer,Yes,1,1,5,6,16,9,7
R0353,V0353,"Houston, TX",Educator,Yes,1,5,7,7,18,10,10
R0354,V0354,"Houston, TX",Police Officer,Yes,6,1,7,3,9,2,9
R0355,V0355,"Houston, TX",Educator,No,5,2,10,1,9,8,7
R0356,V0356,"Houston, TX",Police Officer,No,2,8,2,9,15,2,8
R0357,V0357,"Houston, TX",Educator,Yes,6,1,6,2,11,1,9
R0358,V0358,"Houston, TX",Police Officer,Yes,9,8,9,10,7,2,7
R0359,V0359,"Houston, TX",Educator,No,7,3,10,10,2,1,9
R0360,V0360,"Houston, TX",Educator,Yes,3,10,5,10,12,1,8
R0361,V0361,"Houston, TX",Police Officer,Yes,2,6,3,2,18,8,9
R0362,V0362,"Houston, TX",Educator,Yes,1,5,6,1,17,3,9
R0363,V0363,"Houston, TX",Healthcare Worker,Yes,2,1,10,10,11,3,9
R0364,V0364,"Houston, TX",Police Officer,No,8,6,8,5,3,7,4
R0365,V0365,"Houston, TX",Healthcare Worker,No,5,7,1,2,13,8,8
R0366,V0366,"Houston, TX",Educator,Yes,4,8,2,4,20,1,6
R0367,V0367,"Houston, TX",Police Officer,No,1,1,6,9,13,2,5
R0368,V0368,"Houston, TX",Healthcare Worker,Yes,8,7,2,10,17,3,7
R0369,V0369,"Houston, TX",Healthcare Worker,No,2,3,1,6,13,5,7
R0370,V0370,"Houston, TX",Educator,No,8,1,6,3,5,5,10
R0371,V0371,"Houston, TX",Educator,Yes,9,9,1,2,19,2,9
R0372,V0372,"Houston, TX",Educator,Yes,1,4,8,7,19,9,10
R0373,V0373,"Houston, TX",Educator,No,6,10,10,7,20,7,9
R0374,V0374,"Houston, TX",Healthcare Worker,No,5,9,1,6,16,7,8
R0375,V0375,"Houston, TX",Educator,No,4,1,1,6,5,9,8
R0376,V0376,"Houston, TX",Educator,Yes,2,6,6,2,20,2,7
R0377,V0377,"Houston, TX",Healthcare Worker,No,9,7,3,10,1,8,8
R0378,V0378,"Houston, TX",Healthcare Worker,Yes,5,2,8,9,14,7,8
R0379,V0379,"Houston, TX",Healthcare Worker,Yes,5,8,4,4,13,1,5
R0380,V0380,"Houston, TX",Healthcare Worker,Yes,8,1,4,1,16,4,5
R0381,V0381,"Houston, TX",Healthcare Worker,Yes,7,10,2,2,2,8,6
R0382,V0382,"Houston, TX",Healthcare Worker,Yes,7,2,6,1,13,2,10
R0383,V0383,"Houston, TX",Police Officer,No,8,10,3,10,19,4,9
R0384,V0384,"Houston, TX",Educator,No,1,7,8,4,12,6,3
R0385,V0385,"Houston, TX",Police Officer,No,9,4,1,1,6,9,8
R0386,V0386,"Houston, TX",Healthcare Worker,No,10,1,5,9,1,9,10
R0387,V0387,"Houston, TX",Educator,Yes,3,6,10,10,11,6,4
R0388,V0388,"Houston, TX",Educator,Yes,1,9,2,2,3,9,7
R0389,V0389,"Houston, TX",Healthcare Worker,No,9,9,8,10,3,10,7
R0390,V0390,"Houston, TX",Educator,No,2,10,2,6,7,4,7
R0391,V0391,"Houston, TX",Police Officer,No,2,2,3,5,16,6,1
R0392,V0392,"Houston, TX",Healthcare Worker,No,3,1,1,8,15,5,7
R0393,V0393,"Houston, TX",Police Officer,Yes,9,8,7,5,6,6,9
R0394,V0394,"Houston, TX",Healthcare Worker,No,10,7,6,5,5,7,8
R0395,V0395,"Houston, TX",Educator,Yes,5,4,10,3,12,9,7
R0396,V0396,"Houston, TX",Healthcare Worker,No,4,7,3,8,3,1,8
R0397,V0397,"Houston, TX",Healthcare Worker,Yes,6,5,7,4,1,6,7
R0398,V0398,"Houston, TX",Educator,No,2,2,2,10,2,7,9
R0399,V0399,"Houston, TX",Healthcare Worker,Yes,10,8,6,9,2,6,7
R0400,V0400,"Houston, TX",Police Officer,No,9,4,8,3,11,9,8
R0401,V0401,"Houston, TX",Police Officer,No,6,1,6,5,14,1,6
R0402,V0402,"Houston, TX",Police Officer,Yes,9,8,8,9,5,9,7
R0403,V0403,"Houston, TX",Healthcare Worker,No,2,7,7,7,2,6,6
R0404,V0404,"Houston, TX",Educator,Yes,10,4,10,5,4,7,2
R0405,V0405,"Houston, TX",Healthcare Worker,Yes,7,3,7,2,20,8,8
R0406,V0406,"Houston, TX",Healthcare Worker,No,10,4,5,8,5,8,1
R0407,V0407,"Houston, TX",Police Officer,No,8,3,2,2,7,1,7
R0408,V0408,"Houston, TX",Educator,Yes,6,10,7,8,4,3,8
R0409,V0409,"Houston, TX",Educator,No,7,4,2,5,17,10,9
R0410,V0410,"Houston, TX",Educator,No,7,10,6,5,19,7,9
R0411,V0411,"Houston, TX",Healthcare Worker,Yes,7,1,3,3,11,1,1
R0412,V0412,"Houston, TX",Healthcare Worker,No,7,4,9,7,15,5,5
R0413,V0413,"Houston, TX",Healthcare Worker,No,6,9,1,9,5,1,8
R0414,V0414,"Houston, TX",Police Officer,Yes,6,9,5,6,1,9,8
R0415,V0415,"Houston, TX",Healthcare Worker,No,4,2,2,6,12,1,1
R0416,V0416,"Houston, TX",Police Officer,Yes,3,10,7,3,4,6,7
R0417,V0417,"Houston, TX",Healthcare Worker,Yes,1,5,6,2,4,2,10
R0418,V0418,"Houston, TX",Healthcare Worker,No,7,9,6,10,12,6,10
R0419,V0419,"Houston, TX",Healthcare Worker,No,10,8,8,1,1,6,8
R0420,V0420,"Houston, TX",Healthcare Worker,No,4,5,9,4,15,9,9
R0421,V0421,"Houston, TX",Healthcare Worker,No,7,5,6,2,2,1,8
R0422,V0422,"Houston, TX",Educator,Yes,7,6,10,1,3,5,4
R0423,V0423,"Houston, TX",Police Officer,No,2,6,5,3,19,6,7
R0424,V0424,"Houston, TX",Educator,No,4,10,8,5,11,1,9
R0425,V0425,"Houston, TX",Educator,Yes,1,5,2,4,12,3,7
R0426,V0426,"Houston, TX",Healthcare Worker,Yes,3,2,10,7,10,4,7
R0427,V0427,"Houston, TX",Healthcare Worker,Yes,8,1,8,1,13,8,9
R0428,V0428,"Houston, TX",Healthcare Worker,No,10,3,9,1,17,5,9
R0429,V0429,"Houston, TX",Police Officer,Yes,4,3,8,5,5,10,7
R0430,V0430,"Houston, TX",Healthcare Worker,No,3,1,7,4,12,4,8
R0431,V0431,"Houston, TX",Police Officer,No,7,2,1,3,3,4,7
R0432,V0432,"Houston, TX",Educator,No,2,1,3,2,17,2,10
R0433,V0433,"Houston, TX",Educator,Yes,1,5,6,2,18,7,4
R0434,V0434,"Houston, TX",Healthcare Worker,Yes,2,5,3,2,7,1,9
R0435,V0435,"Houston, TX",Healthcare Worker,No,3,3,2,2,16,2,10
R0436,V0436,"Houston, TX",Healthcare Worker,No,3,6,8,10,2,8,10
R0437,V0437,"Houston, TX",Educator,No,10,2,10,2,10,8,1
R0438,V0438,"Houston, TX",Educator,Yes,8,5,3,5,18,6,3
R0439,V0439,"Houston, TX",Healthcare Worker,No,4,10,4,10,19,4,7
R0440,V0440,"Houston, TX",Police Officer,No,9,8,3,6,5,6,10
R0441,V0441,"Houston, TX",Police Officer,Yes,2,1,2,9,4,6,7
R0442,V0442,"Houston, TX",Police Officer,No,6,8,10,7,20,6,8
R0443,V0443,"Houston, TX",Police Officer,No,3,7,8,9,4,6,8
R0444,V0444,"Houston, TX",Educator,No,8,8,10,10,1,1,7
R0445,V0445,"Houston, TX",Healthcare Worker,Yes,1,9,6,3,16,2,8
R0446,V0446,"Houston, TX",Police Officer,Yes,9,1,9,10,18,5,7
R0447,V0447,"Houston, TX",Educator,Yes,8,1,1,7,1,6,10
R0448,V0448,"Houston, TX",Healthcare Worker,No,2,6,5,3,7,3,8
R0449,V0449,"Houston, TX",Educator,No,4,7,9,5,16,2,8
R0450,V0450,"Houston, TX",Police Officer,No,9,9,1,5,18,5,9
R0451,V0451,"Houston, TX",Educator,Yes,1,9,8,2,13,6,8
R0452,V0452,"Houston, TX",Educator,No,2,7,6,5,14,7,7
R0453,V0453,"Houston, TX",Police Officer,Yes,6,9,1,4,2,6,10
R0454,V0454,"Houston, TX",Police Officer,Yes,7,8,7,9,7,9,10
R0455,V0455,"Houston, TX",Healthcare Worker,Yes,4,8,2,3,15,6,7
R0456,V0456,"Houston, TX",Educator,Yes,7,9,7,9,16,7,9
R0457,V0457,"Houston, TX",Healthcare Worker,No,2,8,3,5,13,6,7
R0458,V0458,"Houston, TX",Police Officer,No,9,2,7,1,6,7,9
R0459,V0459,"Houston, TX",Healthcare Worker,No,5,8,1,1,4,6,7
R0460,V0460,"Houston, TX",Police Officer,Yes,9,9,7,8,9,8,9
R0461,V0461,"Houston, TX",Police Officer,Yes,7,4,2,10,6,5,4
R0462,V0462,"Houston, TX",Healthcare Worker,Yes,8,9,1,5,6,4,10
R0463,V0463,"Houston, TX",Police Officer,No,8,9,10,5,15,9,9
R0464,V0464,"Houston, TX",Police Officer,No,10,6,1,4,14,7,9
R0465,V0465,"Houston, TX",Police Officer,No,10,4,5,1,17,9,10
R0466,V0466,"Houston, TX",Educator,Yes,4,9,9,7,16,10,9
R0467,V0467,"Houston, TX",Police Officer,No,4,2,2,4,4,5,7
R0468,V0468,"Houston, TX",Police Officer,No,1,3,10,3,15,3,8
R0469,V0469,"Houston, TX",Healthcare Worker,No,8,2,2,10,16,9,2
R0470,V0470,"Houston, TX",Healthcare Worker,Yes,5,5,8,9,17,10,8
R0471,V0471,"Houston, TX",Police Officer,No,3,1,7,9,9,5,9
R0472,V0472,"Houston, TX",Police Officer,No,9,4,10,9,2,1,7
R0473,V0473,"Houston, TX",Educator,Yes,10,6,9,7,16,2,9
R0474,V0474,"Houston, TX",Healthcare Worker,Yes,4,10,7,2,9,1,9
R0475,V0475,"Houston, TX",Police Officer,No,8,8,9,6,10,3,9
R0476,V0476,"Houston, TX",Educator,Yes,8,9,2,5,4,8,9
R0477,V0477,"Houston, TX",Educator,No,7,7,10,10,20,1,7
R0478,V0478,"Houston, TX",Educator,No,9,2,6,1,11,7,9
R0479,V0479,"Houston, TX",Educator,Yes,5,8,9,1,16,9,9
R0480,V0480,"Houston, TX",Healthcare Worker,No,8,2,2,7,3,4,8
R0481,V0481,"Houston, TX",Educator,No,1,9,6,2,16,7,10
R0482,V0482,"Houston, TX",Educator,Yes,3,9,2,7,4,9,9
R0483,V0483,"Houston, TX",Educator,No,4,6,10,7,4,6,8
R0484,V0484,"Houston, TX",Healthcare Worker,Yes,8,7,9,6,17,7,1
R0485,V0485,"Houston, TX",Police Officer,Yes,10,7,1,8,12,4,10
R0486,V0486,"Houston, TX",Educator,No,2,7,5,1,19,8,10
R0487,V0487,"Houston, TX",Educator,Yes,10,3,1,1,3,1,8
R0488,V0488,"Houston, TX",Healthcare Worker,Yes,6,10,1,8,1,9,7
R0489,V0489,"Houston, TX",Educator,Yes,7,2,2,5,1,9,10
R0490,V0490,"Houston, TX",Police Officer,No,6,1,6,7,13,2,10
R0491,V0491,"Houston, TX",Educator,No,10,1,8,2,9,9,10
R0492,V0492,"Houston, TX",Police Officer,No,5,10,3,8,15,4,10
R0493,V0493,"Houston, TX",Healthcare Worker,Yes,7,5,8,5,15,2,7
R0494,V0494,"Houston, TX",Educator,Yes,8,6,3,10,1,3,8
R0495,V0495,"Houston, TX",Police Officer,No,1,2,8,6,16,1,9
R0496,V0496,"Houston, TX",Healthcare Worker,Yes,2,10,6,2,3,2,9
R0497,V0497,"Houston, TX",Police Officer,Yes,9,2,8,4,9,6,7
R0498,V0498,"Houston, TX",Healthcare Worker,Yes,7,6,8,7,6,10,7
R0499,V0499,"Houston, TX",Police Officer,Yes,6,5,2,4,3,6,9
R0500,V0500,"Houston, TX",Educator,Yes,7,5,7,3,14,1,10
R0501,V0501,"Houston, TX",Police Officer,Yes,6,2,6,6,12,2,2
R0502,V0502,"Houston, TX",Healthcare Worker,Yes,3,2,8,10,20,4,7
R0503,V0503,"Houston, TX",Healthcare Worker,No,5,9,10,6,14,1,6
R0504,V0504,"Houston, TX",Healthcare Worker,Yes,7,4,6,5,6,4,9
R0505,V0505,"Houston, TX",Police Officer,No,9,2,2,3,7,3,7
R0506,V0506,"Houston, TX",Educator,No,4,1,9,10,10,2,8
R0507,V0507,"Houston, TX",Educator,Yes,5,3,7,5,5,6,10
R0508,V0508,"Houston, TX",Police Officer,Yes,5,2,6,2,11,5,10
R0509,V0509,"Houston, TX",Healthcare Worker,Yes,7,5,8,8,11,8,9
R0510,V0510,"Houston, TX",Police Officer,No,10,8,8,5,9,7,8
R0511,V0511,"Houston, TX",Police Officer,No,4,2,1,7,11,4,8
R0512,V0512,"Houston, TX",Police Officer,No,9,9,2,9,12,6,9
R0513,V0513,"Houston, TX",Police Officer,No,2,1,10,7,18,8,7
R0514,V0514,"Houston, TX",Healthcare Worker,Yes,4,9,5,9,17,1,9
R0515,V0515,"Houston, TX",Educator,Yes,6,8,6,5,6,9,8
R0516,V0516,"Houston, TX",Educator,No,7,6,5,8,2,6,8
R0517,V0517,"Houston, TX",Police Officer,No,5,3,2,8,13,2,8
R0518,V0518,"Houston, TX",Healthcare Worker,Yes,6,5,10,5,6,1,7
R0519,V0519,"Houston, TX",Police Officer,Yes,3,5,2,9,10,5,10
R0520,V0520,"Houston, TX",Healthcare Worker,No,6,1,5,10,7,8,8
R0521,V0521,"Houston, TX",Police Officer,Yes,3,1,8,4,1,5,10
R0522,V0522,"Houston, TX",Police Officer,Yes,10,2,7,5,11,6,8
R0523,V0523,"Houston, TX",Educator,Yes,9,2,7,6,9,10,8
R0524,V0524,"Houston, TX",Educator,No,5,1,1,3,2,2,7
R0525,V0525,"Houston, TX",Healthcare Worker,No,10,1,8,6,10,1,9
R0526,V0526,"Houston, TX",Educator,Yes,9,6,10,9,15,6,7
R0527,V0527,"Houston, TX",Police Officer,No,5,4,7,7,3,6,8
R0528,V0528,"Houston, TX",Educator,Yes,4,9,4,3,6,4,8
R0529,V0529,"Houston, TX",Police Officer,Yes,1,9,5,5,13,9,9
R0530,V0530,"Houston, TX",Healthcare Worker,Yes,4,7,9,9,19,6,10
R0531,V0531,"Houston, TX",Police Officer,No,1,8,6,7,8,9,9
R0532,V0532,"Houston, TX",Educator,No,7,10,9,9,11,2,8
R0533,V0533,"Houston, TX",Healthcare Worker,Yes,10,7,1,8,2,7,7
R0534,V0534,"Houston, TX",Healthcare Worker,No,10,10,10,4,11,6,8
R0535,V0535,"Houston, TX",Police Officer,No,1,3,6,3,9,7,10
R0536,V0536,"Houston, TX",Educator,Yes,2,5,10,4,10,2,9
R0537,V0537,"Houston, TX",Healthcare Worker,No,3,1,3,2,3,7,9
R0538,V0538,"Houston, TX",Healthcare Worker,Yes,9,7,6,8,7,3,4
R0539,V0539,"Houston, TX",Police Officer,No,3,2,8,10,17,1,10
R0540,V0540,"Houston, TX",Police Officer,No,7,4,2,6,11,6,4
R0541,V0541,"Houston, TX",Police Officer,No,8,10,3,10,8,5,8
R0542,V0542,"Houston, TX",Educator,Yes,9,5,8,2,3,3,8
R0543,V0543,"Houston, TX",Healthcare Worker,Yes,8,7,9,5,9,7,8
R0544,V0544,"Houston, TX",Educator,No,3,3,7,4,8,8,7
R0545,V0545,"Houston, TX",Healthcare Worker,Yes,7,9,4,9,2,10,10
R0546,V0546,"Houston, TX",Police Officer,No,8,10,1,2,13,9,8
R0547,V0547,"Houston, TX",Police Officer,No,6,6,9,7,5,8,7
R0548,V0548,"Houston, TX",Police Officer,No,4,8,3,6,11,6,10
R0549,V0549,"Houston, TX",Educator,Yes,6,6,7,9,7,3,1
R0550,V0550,"Houston, TX",Educator,No,2,10,5,2,15,7,7
R0551,V0551,"Houston, TX",Healthcare Worker,No,2,5,8,10,17,10,8
R0552,V0552,"Houston, TX",Educator,Yes,1,6,8,7,13,4,9
R0553,V0553,"Houston, TX",Healthcare Worker,No,9,10,1,4,4,6,8
R0554,V0554,"Houston, TX",Police Officer,No,7,4,9,7,9,6,7
R0555,V0555,"Houston, TX",Educator,Yes,2,4,7,1,16,9,10
R0556,V0556,"Houston, TX",Healthcare Worker,No,6,2,7,9,20,3,9
R0557,V0557,"Houston, TX",Educator,No,9,5,2,1,2,6,8
R0558,V0558,"Houston, TX",Healthcare Worker,Yes,7,10,2,8,6,9,7
R0559,V0559,"Houston, TX",Educator,No,6,7,3,7,6,2,10
R0560,V0560,"Houston, TX",Educator,Yes,1,3,5,8,18,10,7
R0561,V0561,"Houston, TX",Educator,Yes,3,8,3,10,20,10,9
R0562,V0562,"Houston, TX",Police Officer,Yes,4,3,2,3,19,5,7
R0563,V0563,"Houston, TX",Healthcare Worker,No,8,2,10,4,10,7,9
R0564,V0564,"Houston, TX",Police Officer,No,4,10,5,5,17,10,2
R0565,V0565,"Houston, TX",Healthcare Worker,Yes,8,10,6,3,15,7,10
R0566,V0566,"Houston, TX",Police Officer,Yes,9,3,10,9,3,4,8
R0567,V0567,"Houston, TX",Healthcare Worker,No,1,6,6,2,3,5,2
R0568,V0568,"Houston, TX",Police Officer,No,1,2,7,5,17,4,9
R0569,V0569,"Houston, TX",Educator,Yes,1,10,7,8,1,3,8
R0570,V0570,"Houston, TX",Police Officer,No,8,10,10,1,17,9,7
R0571,V0571,"Houston, TX",Educator,No,9,2,1,3,8,8,10
R0572,V0572,"Houston, TX",Educator,Yes,8,10,4,2,18,2,10
R0573,V0573,"Houston, TX",Healthcare Worker,No,2,3,2,4,5,8,7
R0574,V0574,"Houston, TX",Healthcare Worker,No,10,6,4,2,9,8,10
R0575,V0575,"Houston, TX",Educator,No,4,9,7,8,13,3,8
R0576,V0576,"Houston, TX",Police Officer,No,2,3,1,9,6,1,8
R0577,V0577,"Houston, TX",Police Officer,No,5,3,8,1,6,6,10
R0578,V0578,"Houston, TX",Police Officer,No,9,8,7,8,1,2,9
R0579,V0579,"Houston, TX",Educator,Yes,2,6,7,4,8,8,9
R0580,V0580,"Houston, TX",Police Officer,No,2,6,5,8,1,9,9
R0581,V0581,"Houston, TX",Police Officer,No,4,10,5,8,11,1,9
R0582,V0582,"Houston, TX",Police Officer,No,9,8,4,8,1,7,10
R0583,V0583,"Houston, TX",Educator,No,1,3,4,9,12,5,7
R0584,V0584,"Houston, TX",Educator,No,4,3,2,1,11,6,8
R0585,V0585,"Houston, TX",Healthcare Worker,Yes,4,8,7,8,9,5,7
R0586,V0586,"Houston, TX",Healthcare Worker,Yes,5,9,5,8,15,5,10
R0587,V0587,"Houston, TX",Police Officer,Yes,6,8,6,2,15,4,8
R0588,V0588,"Houston, TX",Healthcare Worker,Yes,3,9,6,5,10,6,9
R0589,V0589,"Houston, TX",Police Officer,Yes,3,3,7,2,15,4,9
R0590,V0590,"Houston, TX",Educator,No,3,7,9,5,8,4,6
R0591,V0591,"Houston, TX",Healthcare Worker,No,6,3,6,1,8,2,8
R0592,V0592,"Houston, TX",Police Officer,Yes,1,8,8,3,4,7,9
R0593,V0593,"Houston, TX",Healthcare Worker,No,10,4,1,1,8,1,9
R0594,V0594,"Houston, TX",Healthcare Worker,Yes,10,4,9,10,18,8,7
R0595,V0595,"Houston, TX",Police Officer,No,3,8,6,6,3,8,9
R0596,V0596,"Houston, TX",Healthcare Worker,No,9,6,8,3,4,3,9
R0597,V0597,"Houston, TX",Healthcare Worker,Yes,8,9,8,1,16,10,7
R0598,V0598,"Houston, TX",Police Officer,Yes,10,6,1,10,17,9,10
R0599,V0599,"Houston, TX",Police Officer,Yes,7,6,9,1,6,5,7
R0600,V0600,"Houston, TX",Healthcare Worker,No,9,2,9,8,8,10,10
R0601,V0601,"Houston, TX",Healthcare Worker,Yes,10,5,7,1,15,3,9
R0602,V0602,"Houston, TX",Educator,Yes,8,10,8,10,19,7,10
R0603,V0603,"Houston, TX",Police Officer,Yes,10,5,5,8,17,4,5
R0604,V0604,"Houston, TX",Healthcare Worker,No,1,3,1,1,4,10,8
R0605,V0605,"Houston, TX",Educator,No,6,8,3,10,8,9,8
R0606,V0606,"Houston, TX",Educator,No,2,7,5,10,1,10,5
R0607,V0607,"Houston, TX",Educator,No,1,10,6,1,3,3,9
R0608,V0608,"Houston, TX",Healthcare Worker,Yes,2,6,4,7,7,1,2
R0609,V0609,"Houston, TX",Healthcare Worker,No,4,9,6,1,11,3,9
R0610,V0610,"Houston, TX",Healthcare Worker,No,4,9,4,9,1,5,10
R0611,V0611,"Houston, TX",Healthcare Worker,Yes,1,9,6,9,4,5,10
R0612,V0612,"Houston, TX",Educator,No,6,8,3,2,20,2,10
R0613,V0613,"Houston, TX",Healthcare Worker,No,7,6,9,1,19,2,9
R0614,V0614,"Houston, TX",Educator,Yes,10,4,2,9,18,9,10
R0615,V0615,"Houston, TX",Educator,No,7,1,5,9,8,5,7
R0616,V0616,"Houston, TX",Police Officer,No,3,7,1,8,1,6,10
R0617,V0617,"Houston, TX",Educator,No,6,4,2,3,3,6,7
R0618,V0618,"Houston, TX",Educator,No,9,9,7,10,9,2,8
R0619,V0619,"Houston, TX",Police Officer,No,5,2,5,7,8,5,7
R0620,V0620,"Houston, TX",Police Officer,Yes,10,4,10,8,6,9,8
R0621,V0621,"Houston, TX",Educator,No,8,1,2,9,10,7,9
R0622,V0622,"Houston, TX",Healthcare Worker,No,2,5,8,4,3,2,10
R0623,V0623,"Houston, TX",Healthcare Worker,No,4,1,7,6,2,6,1
R0624,V0624,"Houston, TX",Healthcare Worker,No,2,5,7,1,1,1,9
R0625,V0625,"Houston, TX",Healthcare Worker,Yes,5,9,8,10,15,1,9
R0626,V0626,"Houston, TX",Police Officer,Yes,5,7,5,8,1,1,7
R0627,V0627,"Houston, TX",Educator,Yes,8,3,10,10,7,6,2
R0628,V0628,"Houston, TX",Educator,Yes,3,4,10,8,19,2,9
R0629,V0629,"Houston, TX",Police Officer,Yes,3,2,8,7,6,2,7
R0630,V0630,"Houston, TX",Educator,Yes,8,10,7,7,14,3,10
R0631,V0631,"Houston, TX",Police Officer,Yes,4,10,7,7,19,2,7
R0632,V0632,"Houston, TX",Police Officer,Yes,3,8,7,10,4,10,8
R0633,V0633,"Houston, TX",Police Officer,No,3,1,5,6,9,2,10
R0634,V0634,"Houston, TX",Police Officer,No,10,4,1,10,5,3,6
R0635,V0635,"Houston, TX",Healthcare Worker,No,8,2,6,1,12,7,8
R0636,V0636,"Houston, TX",Educator,Yes,1,10,6,5,8,6,4
R0637,V0637,"Houston, TX",Healthcare Worker,No,6,8,4,3,11,8,7
R0638,V0638,"Houston, TX",Educator,Yes,10,10,6,4,15,1,4
R0639,V0639,"Houston, TX",Healthcare Worker,Yes,5,2,3,7,16,4,7
R0640,V0640,"Houston, TX",Educator,Yes,5,5,7,8,4,5,8
R0641,V0641,"Houston, TX",Healthcare Worker,No,3,6,6,2,4,10,8
R0642,V0642,"Houston, TX",Healthcare Worker,No,4,7,4,6,15,9,8
R0643,V0643,"Houston, TX",Police Officer,No,7,6,7,1,12,9,8
R0644,V0644,"Houston, TX",Police Officer,No,5,9,6,6,19,1,9
R0645,V0645,"Houston, TX",Educator,No,9,1,5,7,17,8,10
R0646,V0646,"Houston, TX",Police Officer,No,8,9,10,3,4,1,9
R0647,V0647,"Houston, TX",Educator,Yes,1,6,1,10,20,4,10
R0648,V0648,"Houston, TX",Healthcare Worker,Yes,1,10,3,3,12,1,9
R0649,V0649,"Houston, TX",Healthcare Worker,Yes,1,2,6,10,20,1,8
R0650,V0650,"Houston, TX",Police Officer,Yes,4,4,1,8,11,3,10
R0651,V0651,"Houston, TX",Educator,No,10,7,10,5,9,1,7
R0652,V0652,"Houston, TX",Police Officer,Yes,2,4,1,8,5,4,8
R0653,V0653,"Houston, TX",Educator,Yes,10,2,1,4,14,3,9
R0654,V0654,"Houston, TX",Police Officer,No,1,3,7,3,3,4,10
R0655,V0655,"Houston, TX",Educator,Yes,10,6,3,7,20,10,3
R0656,V0656,"Houston, TX",Police Officer,No,6,8,5,4,2,2,9
R0657,V0657,"Houston, TX",Healthcare Worker,No,7,1,9,3,10,2,8
R0658,V0658,"Houston, TX",Healthcare Worker,Yes,4,9,8,3,5,3,9
R0659,V0659,"Houston, TX",Healthcare Worker,Yes,9,3,1,9,7,5,8
R0660,V0660,"Houston, TX",Healthcare Worker,No,6,6,4,1,6,10,10
R0661,V0661,"Houston, TX",Educator,No,10,9,2,5,11,1,10
R0662,V0662,"Houston, TX",Healthcare Worker,No,7,4,1,7,15,10,9
R0663,V0663,"Houston, TX",Police Officer,Yes,4,1,6,6,19,2,9
R0664,V0664,"Houston, TX",Healthcare Worker,No,2,2,3,10,14,4,10
R0665,V0665,"Houston, TX",Educator,No,5,7,8,9,7,7,10
