Recipient_ID,Volunteer_ID,Location,Role,Card_Received,Stress_Level_Before_Card,Stress_Level_After_Card,Job_Satisfaction_Before_Card,Job_Satisfaction_After_Card,Volunteer_Participation,Volunteer_Motivation_Score,Emotional_Response_Score
R0666,V0666,"Houston, TX",Educator,Yes,5,8,5,5,8,1,7
R0667,V0667,"Houston, TX",Police Officer,Yes,2,10,3,3,7,2,3
R0668,V0668,"Houston, TX",Police Officer,Yes,4,6,10,8,18,2,1
R0669,V0669,"Houston, TX",Police Officer,No,6,2,3,1,20,9,7
R0670,V0670,"Houston, TX",Police Officer,No,10,9,5,2,8,6,10
R0671,V0671,"Houston, TX",Educator,Yes,9,4,1,5,7,10,10
R0672,V0672,"Houston, TX",Educator,No,3,1,2,10,17,1,9
R0673,V0673,"Houston, TX",Police Officer,No,1,8,8,4,11,3,9
R0674,V0674,"Houston, TX",Educator,Yes,9,1,2,7,5,10,10
R0675,V0675,"Houston, TX",Educator,Yes,8,4,5,8,20,1,8
R0676,V0676,"Houston, TX",Police Officer,No,2,9,6,1,20,10,10
R0677,V0677,"Houston, TX",Healthcare Worker,Yes,5,7,7,2,9,4,8
R0678,V0678,"Houston, TX",Educator,Yes,10,1,10,7,18,8,9
R0679,V0679,"Houston, TX",Healthcare Worker,No,1,4,1,3,9,10,8
R0680,V0680,"Houston, TX",Healthcare Worker,Yes,8,7,7,2,12,3,9
R0681,V0681,"Houston, TX",Educator,No,7,1,2,10,13,9,9
R0682,V0682,"Houston, TX",Educator,No,10,3,6,3,20,6,10
R0683,V0683,"Houston, TX",Police Officer,Yes,10,5,7,3,11,5,10
R0684,V0684,"Houston, TX",Educator,No,2,5,8,6,9,7,5
R0685,V0685,"Houston, TX",Healthcare Worker,Yes,2,8,6,3,16,9,9
R0686,V0686,"Houston, TX",Educator,No,1,9,7,5,11,2,9
R0687,V0687,"Houston, TX",Healthcare Worker,Yes,4,5,7,4,7,9,10
R0688,V0688,"Houston, TX",Healthcare Worker,No,10,4,6,7,4,6,9
R0689,V0689,"Houston, TX",Healthcare Worker,No,7,7,9,5,14,5,3
R0690,V0690,"Houston, TX",Police Officer,Yes,5,10,10,2,13,6,8
R0691,V0691,"Houston, TX",Police Officer,Yes,8,1,4,2,20,2,8
R0692,V0692,"Houston, TX",Healthcare Worker,Yes,7,7,4,7,13,3,10
R0693,V0693,"Houston, TX",Police Officer,No,8,10,5,6,19,10,7
R0694,V0694,"Houston, TX",Educator,Yes,10,2,1,5,17,4,7
R0695,V0695,"Houston, TX",Educator,Yes,7,8,2,7,7,5,10
R0696,V0696,"Houston, TX",Police Officer,No,9,9,9,2,4,10,9
R0697,V0697,"Houston, TX",Police Officer,No,10,4,6,10,1,1,8
R0698,V0698,"Houston, TX",Police Officer,No,2,8,8,8,9,9,7
R0699,V0699,"Houston, TX",Educator,No,8,6,8,9,2,8,8
R0700,V0700,"Houston, TX",Police Officer,No,10,6,6,5,10,10,7
R0701,V0701,"Houston, TX",Police Officer,No,1,6,6,4,4,3,10
R0702,V0702,"Houston, TX",Police Officer,No,10,3,10,10,7,1,7
R0703,V0703,"Houston, TX",Healthcare Worker,Yes,4,2,8,6,20,7,8
R0704,V0704,"Houston, TX",Police Officer,No,8,4,2,5,3,1,7
R0705,V0705,"Houston, TX",Police Officer,Yes,2,2,8,2,18,7,6
R0706,V0706,"Houston, TX",Healthcare Worker,Yes,8,10,6,2,19,9,7
R0707,V0707,"Houston, TX",Educator,No,7,1,8,9,13,10,7
R0708,V0708,"Houston, TX",Healthcare Worker,Yes,7,5,3,8,10,5,10
R0709,V0709,"Houston, TX",Police Officer,No,6,10,5,4,12,6,7
R0710,V0710,"Houston, TX",Police Officer,No,3,9,7,3,10,5,8
R0711,V0711,"Houston, TX",Educator,No,5,6,7,1,7,10,8
R0712,V0712,"Houston, TX",Healthcare Worker,No,4,8,6,4,8,2,10
R0713,V0713,"Houston, TX",Healthcare Worker,No,8,9,9,3,13,10,7
R0714,V0714,"Houston, TX",Healthcare Worker,No,8,4,9,6,12,4,10
R0715,V0715,"Houston, TX",Police Officer,No,6,9,1,6,3,5,7
R0716,V0716,"Houston, TX",Police Officer,No,7,6,1,1,3,5,9
R0717,V0717,"Houston, TX",Educator,No,1,5,4,1,1,4,10
R0718,V0718,"Houston, TX",Police Officer,No,4,3,3,3,1,10,6
R0719,V0719,"Houston, TX",Educator,No,9,2,7,7,1,5,10
R0720,V0720,"Houston, TX",Police Officer,No,3,8,8,4,10,7,7
R0721,V0721,"Houston, TX",Healthcare Worker,Yes,9,8,1,1,19,9,6
R0722,V0722,"Houston, TX",Police Officer,Yes,7,10,8,1,5,8,9
R0723,V0723,"Houston, TX",Healthcare Worker,No,6,6,10,5,7,8,8
R0724,V0724,"Houston, TX",Police Officer,Yes,6,10,9,5,2,9,9
R0725,V0725,"Houston, TX",Police Officer,No,6,6,6,6,18,1,10
R0726,V0726,"Houston, TX",Police Officer,No,6,1,8,2,4,8,10
R0727,V0727,"Houston, TX",Police Officer,Yes,10,8,2,1,3,6,7
R0728,V0728,"Houston, TX",Police Officer,No,8,8,1,10,16,6,10
R0729,V0729,"Houston, TX",Educator,Yes,9,6,8,10,1,5,10
R0730,V0730,"Houston, TX",Educator,No,10,3,2,6,3,10,7
R0731,V0731,"Houston, TX",Educator,Yes,2,7,1,9,9,1,7
R0732,V0732,"Houston, TX",Educator,No,4,4,7,9,4,4,8
R0733,V0733,"Houston, TX",Police Officer,Yes,4,9,5,7,14,7,8
R0734,V0734,"Houston, TX",Healthcare Worker,Yes,2,5,5,5,6,10,9
R0735,V0735,"Houston, TX",Healthcare Worker,Yes,10,3,8,8,3,6,9
R0736,V0736,"Houston, TX",Police Officer,Yes,8,5,8,3,10,3,10
R0737,V0737,"Houston, TX",Healthcare Worker,Yes,8,4,3,4,16,6,5
R0738,V0738,"Houston, TX",Healthcare Worker,No,8,2,7,10,16,6,9
R0739,V0739,"Houston, TX",Police Officer,No,4,10,1,2,3,6,10
R0740,V0740,"Houston, TX",Educator,Yes,1,2,4,2,4,3,7
R0741,V0741,"Houston, TX",Healthcare Worker,Yes,3,10,8,6,2,5,10
R0742,V0742,"Houston, TX",Police Officer,No,9,6,1,9,4,10,9
R0743,V0743,"Houston, TX",Educator,Yes,4,6,5,5,19,10,7
R0744,V0744,"Houston, TX",Healthcare Worker,Yes,6,2,4,1,20,1,8
R0745,V0745,"Houston, TX",Police Officer,No,2,8,4,8,6,6,8
R0746,V0746,"Houston, TX",Educator,Yes,5,1,1,6,9,7,9
R0747,V0747,"Houston, TX",Healthcare Worker,Yes,3,7,9,10,14,1,9
R0748,V0748,"Houston, TX",Educator,No,7,6,9,8,6,5,8
R0749,V0749,"Houston, TX",Educator,Yes,7,4,8,2,10,8,8
R0750,V0750,"Houston, TX",Police Officer,No,10,1,4,4,5,4,8
R0751,V0751,"Houston, TX",Police Officer,Yes,5,7,7,3,6,7,9
R0752,V0752,"Houston, TX",Healthcare Worker,No,8,10,6,1,3,7,9
R0753,V0753,"Houston, TX",Healthcare Worker,No,1,1,5,8,12,9,7
R0754,V0754,"Houston, TX",Educator,No,7,10,3,7,7,1,7
R0755,V0755,"Houston, TX",Educator,No,6,8,2,10,9,8,7
R0756,V0756,"Houston, TX",Healthcare Worker,Yes,8,3,8,1,19,2,9
R0757,V0757,"Houston, TX",Police Officer,No,7,1,4,1,5,8,9
R0758,V0758,"Houston, TX",Educator,No,10,6,9,8,1,10,7
R0759,V0759,"Houston, TX",Healthcare Worker,No,7,9,8,1,17,10,7
R0760,V0760,"Houston, TX",Educator,No,6,4,7,1,17,6,8
R0761,V0761,"Houston, TX",Police Officer,Yes,9,7,7,1,12,9,7
R0762,V0762,"Houston, TX",Educator,Yes,3,5,1,10,5,2,8
R0763,V0763,"Houston, TX",Healthcare Worker,No,2,7,7,3,3,8,7
R0764,V0764,"Houston, TX",Police Officer,No,3,10,9,9,1,7,7
R0765,V0765,"Houston, TX",Educator,No,9,10,8,8,2,8,8
R0766,V0766,"Houston, TX",Police Officer,No,2,9,9,7,5,5,8
R0767,V0767,"Houston, TX",Police Officer,Yes,4,9,7,4,9,2,10
R0768,V0768,"Houston, TX",Healthcare Worker,No,9,5,10,5,3,3,7
R0769,V0769,"Houston, TX",Healthcare Worker,No,10,8,3,5,15,8,7
R0770,V0770,"Houston, TX",Police Officer,Yes,5,3,1,5,6,8,6
R0771,V0771,"Houston, TX",Educator,Yes,7,3,4,9,16,4,10
R0772,V0772,"Houston, TX",Educator,Yes,7,8,10,1,9,4,8
R0773,V0773,"Houston, TX",Educator,Yes,5,3,2,4,2,3,9
R0774,V0774,"Houston, TX",Healthcare Worker,Yes,3,3,10,10,2,1,8
R0775,V0775,"Houston, TX",Police Officer,No,6,6,5,2,7,9,7
R0776,V0776,"Houston, TX",Police Officer,Yes,5,5,10,5,13,3,9
R0777,V0777,"Houston, TX",Police Officer,Yes,1,8,6,7,4,2,7
R0778,V0778,"Houston, TX",Educator,No,8,1,3,6,8,2,7
R0779,V0779,"Houston, TX",Educator,Yes,10,7,6,5,9,9,7
R0780,V0780,"Houston, TX",Educator,No,7,8,5,3,4,6,4
R0781,V0781,"Houston, TX",Healthcare Worker,No,10,8,8,4,8,9,9
R0782,V0782,"Houston, TX",Police Officer,No,7,7,2,1,8,4,2
R0783,V0783,"Houston, TX",Police Officer,Yes,3,2,8,6,12,3,10
R0784,V0784,"Houston, TX",Educator,Yes,6,5,4,2,2,6,9
R0785,V0785,"Houston, TX",Police Officer,No,4,8,9,6,12,7,8
R0786,V0786,"Houston, TX",Healthcare Worker,No,4,10,7,10,1,10,8
R0787,V0787,"Houston, TX",Healthcare Worker,Yes,8,3,7,7,8,8,9
R0788,V0788,"Houston, TX",Police Officer,Yes,7,8,4,7,13,3,8
R0789,V0789,"Houston, TX",Healthcare Worker,No,2,6,8,6,13,9,10
R0790,V0790,"Houston, TX",Healthcare Worker,No,2,1,5,8,2,3,7
R0791,V0791,"Houston, TX",Healthcare Worker,No,2,9,6,6,6,6,7
R0792,V0792,"Houston, TX",Healthcare Worker,No,10,9,10,7,12,9,8
R0793,V0793,"Houston, TX",Healthcare Worker,No,3,7,5,1,3,9,8
R0794,V0794,"Houston, TX",Police Officer,No,8,1,7,1,4,8,10
R0795,V0795,"Houston, TX",Police Officer,Yes,9,5,4,2,9,6,10
R0796,V0796,"Houston, TX",Educator,No,1,5,2,8,6,5,8
R0797,V0797,"Houston, TX",Police Officer,Yes,6,2,10,5,14,4,10
R0798,V0798,"Houston, TX",Educator,Yes,6,6,6,9,6,7,8
R0799,V0799,"Houston, TX",Police Officer,Yes,8,1,6,4,6,7,10
R0800,V0800,"Houston, TX",Police Officer,Yes,9,9,9,2,11,8,8
R0801,V0801,"Houston, TX",Healthcare Worker,No,6,8,1,2,3,10,7
R0802,V0802,"Houston, TX",Healthcare Worker,Yes,10,7,1,10,19,2,7
R0803,V0803,"Houston, TX",Healthcare Worker,No,4,2,6,10,10,1,10
R0804,V0804,"Houston, TX",Police Officer,No,2,5,3,4,18,10,8
R0805,V0805,"Houston, TX",Healthcare Worker,No,10,1,10,2,5,6,10
R0806,V0806,"Houston, TX",Police Officer,Yes,2,8,7,3,16,5,9
R0807,V0807,"Houston, TX",Educator,Yes,5,5,1,9,8,1,8
R0808,V0808,"Houston, TX",Police Officer,Yes,10,4,4,9,20,4,7
R0809,V0809,"Houston, TX",Police Officer,No,3,7,9,5,18,3,9
R0810,V0810,"Houston, TX",Educator,No,10,5,7,7,16,9,10
R0811,V0811,"Houston, TX",Educator,No,3,6,5,9,13,4,8
R0812,V0812,"Houston, TX",Healthcare Worker,Yes,2,3,6,3,10,7,7
R0813,V0813,"Houston, TX",Educator,No,8,9,2,5,20,3,8
R0814,V0814,"Houston, TX",Educator,No,9,5,3,1,19,5,7
R0815,V0815,"Houston, TX",Police Officer,No,5,6,1,3,18,5,7
R0816,V0816,"Houston, TX",Police Officer,No,1,9,5,9,11,4,5
R0817,V0817,"Houston, TX",Educator,No,3,8,8,7,13,4,7
R0818,V0818,"Houston, TX",Healthcare Worker,Yes,6,2,10,7,17,6,7
R0819,V0819,"Houston, TX",Educator,No,7,10,8,1,19,5,9
R0820,V0820,"Houston, TX",Healthcare Worker,No,10,5,8,8,12,7,7
R0821,V0821,"Houston, TX",Healthcare Worker,No,7,9,7,4,3,10,8
R0822,V0822,"Houston, TX",Police Officer,No,9,3,3,10,19,6,10
R0823,V0823,"Houston, TX",Educator,Yes,2,8,4,2,13,1,7
R0824,V0824,"Houston, TX",Educator,Yes,2,6,3,10,3,2,8
R0825,V0825,"Houston, TX",Healthcare Worker,No,5,7,3,5,12,3,10
R0826,V0826,"Houston, TX",Police Officer,No,8,7,4,9,9,10,7
R0827,V0827,"Houston, TX",Educator,No,7,10,8,9,14,6,3
R0828,V0828,"Houston, TX",Educator,Yes,8,2,3,1,19,2,7
R0829,V0829,"Houston, TX",Police Officer,Yes,2,7,6,8,18,8,8
R0830,V0830,"Houston, TX",Educator,No,10,1,10,3,2,1,9
R0831,V0831,"Houston, TX",Healthcare Worker,Yes,1,1,5,6,1,3,8
R0832,V0832,"Houston, TX",Educator,Yes,6,7,4,10,17,1,9
R0833,V0833,"Houston, TX",Police Officer,Yes,2,2,10,5,14,4,9
R0834,V0834,"Houston, TX",Healthcare Worker,Yes,10,8,6,3,9,7,9
R0835,V0835,"Houston, TX",Police Officer,Yes,9,10,3,7,20,3,8
R0836,V0836,"Houston, TX",Police Officer,No,10,8,5,2,12,6,8
R0837,V0837,"Houston, TX",Police Officer,No,3,5,6,10,10,7,8
R0838,V0838,"Houston, TX",Police Officer,No,3,8,4,1,19,4,10
R0839,V0839,"Houston, TX",Educator,No,8,1,3,9,15,4,8
R0840,V0840,"Houston, TX",Educator,Yes,6,9,2,6,3,2,9
R0841,V0841,"Houston, TX",Police Officer,Yes,8,5,5,5,9,3,10
R0842,V0842,"Houston, TX",Police Officer,Yes,6,4,8,6,1,10,9
R0843,V0843,"Houston, TX",Police Officer,No,5,2,8,2,16,5,3
R0844,V0844,"Houston, TX",Healthcare Worker,Yes,6,6,3,5,8,8,9
R0845,V0845,"Houston, TX",Healthcare Worker,Yes,9,3,9,6,19,10,7
R0846,V0846,"Houston, TX",Police Officer,Yes,5,1,9,3,1,9,9
R0847,V0847,"Houston, TX",Police Officer,No,5,10,9,10,13,8,8
R0848,V0848,"Houston, TX",Police Officer,No,4,6,2,1,20,8,9
R0849,V0849,"Houston, TX",Educator,No,3,9,9,7,16,3,9
R0850,V0850,"Houston, TX",Educator,No,6,7,1,3,10,3,9
R0851,V0851,"Houston, TX",Police Officer,No,1,4,9,3,4,1,4
R0852,V0852,"Houston, TX",Police Officer,Yes,9,3,4,3,6,4,10
R0853,V0853,"Houston, TX",Police Officer,Yes,6,3,4,9,11,3,7
R0854,V0854,"Houston, TX",Police Officer,No,5,3,7,9,10,7,10
R0855,V0855,"Houston, TX",Healthcare Worker,No,2,2,4,7,4,2,10
R0856,V0856,"Houston, TX",Educator,No,9,3,10,10,5,7,7
R0857,V0857,"Houston, TX",Educator,Yes,7,2,2,4,20,9,8
R0858,V0858,"Houston, TX",Police Officer,No,10,8,10,8,19,3,8
R0859,V0859,"Houston, TX",Healthcare Worker,No,4,4,2,1,3,7,9
R0860,V0860,"Houston, TX",Police Officer,No,2,1,6,10,15,8,1
R0861,V0861,"Houston, TX",Police Officer,Yes,5,4,5,8,6,8,7
R0862,V0862,"Houston, TX",Police Officer,Yes,2,9,5,1,6,1,9
R0863,V0863,"Houston, TX",Police Officer,Yes,8,7,7,6,19,5,10
R0864,V0864,"Houston, TX",Police Officer,Yes,7,9,4,8,15,7,8
R0865,V0865,"Houston, TX",Educator,Yes,2,2,7,8,6,5,8
R0866,V0866,"Houston, TX",Healthcare Worker,No,8,2,1,10,6,1,8
R0867,V0867,"Houston, TX",Educator,No,6,3,10,2,16,7,10
R0868,V0868,"Houston, TX",Healthcare Worker,Yes,5,10,8,3,11,4,10
R0869,V0869,"Houston, TX",Healthcare Worker,No,4,4,4,10,20,5,10
R0870,V0870,"Houston, TX",Healthcare Worker,Yes,5,3,10,8,17,8,10
R0871,V0871,"Houston, TX",Police Officer,No,2,1,10,2,12,8,10
R0872,V0872,"Houston, TX",Healthcare Worker,No,2,3,9,2,9,4,8
R0873,V0873,"Houston, TX",Police Officer,Yes,5,5,1,2,9,3,7
R0874,V0874,"Houston, TX",Healthcare Worker,Yes,6,10,2,5,12,2,9
R0875,V0875,"Houston, TX",Educator,Yes,10,2,8,1,14,8,10
R0876,V0876,"Houston, TX",Educator,Yes,2,2,5,5,16,6,7
R0877,V0877,"Houston, TX",Healthcare Worker,Yes,3,9,5,1,17,3,3
R0878,V0878,"Houston, TX",Educator,Yes,9,6,6,4,2,1,7
R0879,V0879,"Houston, TX",Police Officer,No,4,4,6,9,17,1,9
R0880,V0880,"Houston, TX",Police Officer,No,7,10,1,8,14,3,7
R0881,V0881,"Houston, TX",Police Officer,No,5,7,4,10,15,10,9
R0882,V0882,"Houston, TX",Police Officer,No,8,4,3,5,2,8,8
R0883,V0883,"Houston, TX",Police Officer,No,10,9,9,8,2,10,10
R0884,V0884,"Houston, TX",Police Officer,No,8,5,3,3,11,5,8
R0885,V0885,"Houston, TX",Healthcare Worker,No,6,7,5,8,5,9,8
R0886,V0886,"Houston, TX",Educator,Yes,5,1,5,3,15,3,10
R0887,V0887,"Houston, TX",Educator,Yes,3,2,6,6,2,4,10
R0888,V0888,"Houston, TX",Police Officer,Yes,1,8,1,10,11,10,7
R0889,V0889,"Houston, TX",Police Officer,Yes,9,2,5,4,8,7,9
R0890,V0890,"Houston, TX",Police Officer,Yes,5,5,6,8,18,7,10
R0891,V0891,"Houston, TX",Healthcare Worker,Yes,10,8,10,9,19,5,8
R0892,V0892,"Houston, TX",Police Officer,No,10,5,8,3,9,7,8
R0893,V0893,"Houston, TX",Healthcare Worker,No,2,5,9,2,12,9,9
R0894,V0894,"Houston, TX",Healthcare Worker,No,2,3,5,3,6,8,9
R0895,V0895,"Houston, TX",Educator,Yes,5,6,1,8,15,8,5
R0896,V0896,"Houston, TX",Healthcare Worker,No,6,8,9,4,20,6,9
R0897,V0897,"Houston, TX",Healthcare Worker,No,4,4,2,6,12,5,9
R0898,V0898,"Houston, TX",Police Officer,Yes,4,6,3,6,3,8,8
R0899,V0899,"Houston, TX",Police Officer,No,7,2,2,10,13,4,8
R0900,V0900,"Houston, TX",Healthcare Worker,No,4,7,8,1,3,6,9
R0901,V0901,"Houston, TX",Educator,Yes,5,4,5,2,17,7,7
R0902,V0902,"Houston, TX",Educator,Yes,2,9,3,6,15,4,7
R0903,V0903,"Houston, TX",Healthcare Worker,Yes,3,8,7,5,12,8,8
R0904,V0904,"Houston, TX",Educator,Yes,7,3,9,5,12,8,8
R0905,V0905,"Houston, TX",Police Officer,No,6,6,1,3,9,10,8
R0906,V0906,"Houston, TX",Healthcare Worker,No,7,4,9,7,12,6,10
R0907,V0907,"Houston, TX",Healthcare Worker,No,10,10,8,5,17,1,10
R0908,V0908,"Houston, TX",Educator,Yes,2,6,2,3,5,1,8
R0909,V0909,"Houston, TX",Educator,No,6,10,3,8,15,9,9
R0910,V0910,"Houston, TX",Police Officer,No,1,5,1,6,7,1,9
R0911,V0911,"Houston, TX",Educator,Yes,3,8,6,2,9,10,10
R0912,V0912,"Houston, TX",Educator,Yes,7,8,1,6,15,4,7
R0913,V0913,"Houston, TX",Healthcare Worker,No,6,7,5,9,8,4,10
R0914,V0914,"Houston, TX",Educator,No,2,8,5,5,9,4,9
R0915,V0915,"Houston, TX",Healthcare Worker,Yes,2,7,3,7,17,3,7
R0916,V0916,"Houston, TX",Healthcare Worker,Yes,3,7,2,5,2,9,9
R0917,V0917,"Houston, TX",Educator,No,5,7,4,10,16,8,7
R0918,V0918,"Houston, TX",Police Officer,Yes,5,8,6,3,6,2,10
R0919,V0919,"Houston, TX",Police Officer,No,10,6,10,3,17,3,6
R0920,V0920,"Houston, TX",Educator,No,7,3,6,9,2,4,7
R0921,V0921,"Houston, TX",Educator,Yes,4,2,10,8,5,6,10
R0922,V0922,"Houston, TX",Educator,No,7,1,4,2,14,10,8
R0923,V0923,"Houston, TX",Healthcare Worker,Yes,1,8,8,7,1,4,7
R0924,V0924,"Houston, TX",Police Officer,No,8,8,3,3,18,10,8
R0925,V0925,"Houston, TX",Educator,Yes,7,3,10,7,10,8,8
R0926,V0926,"Houston, TX",Healthcare Worker,No,10,3,9,3,6,9,8
R0927,V0927,"Houston, TX",Police Officer,Yes,6,1,9,9,4,9,8
R0928,V0928,"Houston, TX",Healthcare Worker,Yes,3,3,3,7,9,5,8
R0929,V0929,"Houston, TX",Healthcare Worker,Yes,1,2,10,7,3,9,10
R0930,V0930,"Houston, TX",Police Officer,No,7,5,2,7,14,10,4
R0931,V0931,"Houston, TX",Police Officer,Yes,7,6,2,6,1,10,8
R0932,V0932,"Houston, TX",Police Officer,No,2,5,10,6,7,10,8
R0933,V0933,"Houston, TX",Police Officer,Yes,5,3,9,7,3,1,8
R0934,V0934,"Houston, TX",Educator,No,2,2,6,7,2,7,9
R0935,V0935,"Houston, TX",Healthcare Worker,No,4,2,7,9,11,1,6
R0936,V0936,"Houston, TX",Healthcare Worker,Yes,3,9,2,6,19,5,9
R0937,V0937,"Houston, TX",Educator,No,5,7,9,4,19,3,7
R0938,V0938,"Houston, TX",Police Officer,No,8,8,10,3,3,1,8
R0939,V0939,"Houston, TX",Healthcare Worker,Yes,3,8,6,8,17,3,8
R0940,V0940,"Houston, TX",Police Officer,No,5,2,9,4,15,7,9
R0941,V0941,"Houston, TX",Healthcare Worker,No,4,9,4,7,20,10,10
R0942,V0942,"Houston, TX",Healthcare Worker,Yes,8,3,7,3,15,8,8
R0943,V0943,"Houston, TX",Police Officer,Yes,4,3,6,2,17,2,7
R0944,V0944,"Houston, TX",Healthcare Worker,Yes,9,9,4,4,17,10,8
R0945,V0945,"Houston, TX",Police Officer,Yes,10,9,8,8,1,6,8
R0946,V0946,"Houston, TX",Healthcare Worker,Yes,10,10,4,2,3,8,9
R0947,V0947,"Houston, TX",Healthcare Worker,Yes,7,8,1,1,15,4,9
R0948,V0948,"Houston, TX",Healthcare Worker,No,9,3,8,4,6,3,9
R0949,V0949,"Houston, TX",Educator,Yes,3,5,1,10,11,8,5
R0950,V0950,"Houston, TX",Police Officer,Yes,4,4,6,10,3,1,7
R0951,V0951,"Houston, TX",Healthcare Worker,Yes,8,2,6,3,3,2,10
R0952,V0952,"Houston, TX",Healthcare Worker,No,5,9,5,6,7,6,8
R0953,V0953,"Houston, TX",Healthcare Worker,No,9,9,6,4,10,1,8
R0954,V0954,"Houston, TX",Educator,No,1,9,2,9,10,2,10
R0955,V0955,"Houston, TX",Police Officer,No,7,7,9,5,18,3,8
R0956,V0956,"Houston, TX",Educator,No,4,6,7,7,20,5,9
R0957,V0957,"Houston, TX",Educator,Yes,10,1,6,10,10,6,9
R0958,V0958,"Houston, TX",Police Officer,No,3,9,8,1,8,9,9
R0959,V0959,"Houston, TX",Educator,Yes,5,5,7,6,17,10,8
R0960,V0960,"Houston, TX",Educator,Yes,2,9,1,6,5,2,10
R0961,V0961,"Houston, TX",Police Officer,No,7,10,6,10,9,5,10
R0962,V0962,"Houston, TX",Police Officer,No,4,7,7,1,7,3,7
R0963,V0963,"Houston, TX",Police Officer,No,8,5,7,1,14,2,7
R0964,V0964,"Houston, TX",Educator,Yes,7,4,3,8,8,5,10
R0965,V0965,"Houston, TX",Educator,Yes,7,1,2,10,2,1,8
R0966,V0966,"Houston, TX",Healthcare Worker,No,10,5,10,3,6,2,9
R0967,V0967,"Houston, TX",Healthcare Worker,Yes,9,7,3,3,17,10,8
R0968,V0968,"Houston, TX",Police Officer,Yes,1,5,10,1,8,7,8
R0969,V0969,"Houston, TX",Police Officer,No,3,5,5,3,15,4,4
R0970,V0970,"Houston, TX",Police Officer,No,1,6,2,2,8,1,10
R0971,V0971,"Houston, TX",Healthcare Worker,Yes,2,6,2,1,11,9,8
R0972,V0972,"Houston, TX",Police Officer,Yes,9,1,2,2,5,5,9
R0973,V0973,"Houston, TX",Healthcare Worker,No,6,7,4,2,3,6,8
R0974,V0974,"Houston, TX",Healthcare Worker,No,3,5,5,3,9,3,7
R0975,V0975,"Houston, TX",Police Officer,Yes,1,9,5,2,13,6,9
R0976,V0976,"Houston, TX",Healthcare Worker,No,1,2,5,10,14,2,10
R0977,V0977,"Houston, TX",Police Officer,Yes,1,6,2,9,20,8,9
R0978,V0978,"Houston, TX",Healthcare Worker,No,9,3,10,7,10,8,9
R0979,V0979,"Houston, TX",Healthcare Worker,Yes,2,8,6,6,18,10,8
R0980,V0980,"Houston, TX",Healthcare Worker,Yes,3,5,7,5,16,10,7
R0981,V0981,"Houston, TX",Healthcare Worker,Yes,6,7,6,8,19,4,5
R0982,V0982,"Houston, TX",Healthcare Worker,Yes,2,7,2,6,9,10,9
R0983,V0983,"Houston, TX",Healthcare Worker,No,8,4,10,2,13,10,8
R0984,V0984,"Houston, TX",Police Officer,Yes,5,2,5,9,15,4,9
R0985,V0985,"Houston, TX",Healthcare Worker,Yes,1,7,3,8,3,10,7
R0986,V0986,"Houston, TX",Police Officer,Yes,5,2,10,2,8,2,10
R0987,V0987,"Houston, TX",Healthcare Worker,Yes,2,8,1,10,15,1,9
R0988,V0988,"Houston, TX",Healthcare Worker,Yes,1,4,9,2,7,2,9
R0989,V0989,"Houston, TX",Police Officer,No,10,8,4,10,9,9,8
R0990,V0990,"Houston, TX",Educator,Yes,2,5,3,8,8,3,9
R0991,V0991,"Houston, TX",Educator,Yes,8,5,6,5,5,1,7
R0992,V0992,"Houston, TX",Healthcare Worker,Yes,9,3,8,4,12,2,7
R0993,V0993,"Houston, TX",Healthcare Worker,Yes,7,7,7,5,13,8,10
R0994,V0994,"Houston, TX",Healthcare Worker,No,5,4,4,9,18,2,7
R0995,V0995,"Houston, TX",Police Officer,Yes,8,1,8,7,3,10,7
R0996,V0996,"Houston, TX",Educator,No,7,8,6,3,17,2,7
R0997,V0997,"Houston, TX",Police Officer,No,5,6,5,10,19,2,8
R0998,V0998,"Houston, TX",Healthcare Worker,No,2,1,8,9,13,3,7
R0999,V0999,"Houston, TX",Healthcare Worker,No,3,8,9,10,10,6,2
R1000,V1000,"Houston, TX",Police Officer,No,1,2,2,6,14,10,7
